тримечание Финансовые доходы (расходы ),,
"За год, закон 31 дека",чившийся бря,
2022,2021,
Процентные расходы по кредитам и займам,(601 782,(462 144)
Поочие процентные расходы,(25 019),(30 789
Процентные расходы по обязательствам по финансовой аренде,8 562),25 558
Банковское обслуживание,6 249),16 637)
"Курсовые разницы, нетто",2 492),3 090)
Процентные доходы по займам,13 206,26 531
Прибыль от изменения справедливой стоимости финансовых,,
"акМивов Итого финансовые расходы, нетто",10о 1э4 (472 744,7 UU4 (492 683
чпап 1 расконы 7m4 1,1,
Юримечание 10. Прочие операционные доходы (расходы),За год   закон,чившийся
"За гоД, закон 31 дек",чившиисЯ абря,
2022,2021,
Вычет по акцизV на виногра,611 586,672 418
Восстановление / (начисление убытка от обесценения финансовых,,
акТИвОв,105 276,41 801 
Полученные сvбсидии,25 560,23 631
полученныс суосидии,LJ JOU 02 €,L5 0J 1 0 er
AHvIUDIJD U1 опqзапин услут пv арспнс Inибыль (Vбыток ) пт пea пиэаним пnnuиу запэсор Цатто,7LU,1o uvJ 5 ?26
"триоылы (Уоыток ) 0т реализации прочих запасов, нетто",IU U4U гo?,9 320 ) 1 1 0
"Убыток от реализации электроэнергии, нетто",(8 679),16 522)
НДС не принимаемый к вычетV,365,(8 767
НДс не принимаемыи к вычету,(12 36э ),8 /6/ )
Амортизация основных средств,(13 489),17 680)
HmUP|Мзацп7 vпunы^ срснчь Изменение neзenвa пол ожилаемые крелитные,1о 942,uvu 46 724
Изменение резерва под ожидаемые кредитные убытки,(17 942),(46 724
1ame Рсэ~ьч пен оmнччыv крснпъ уоы Расходы по благоустройству территории и содержанию социальной сферь,(18 804,
гасходы по олаг оустроиству территории и содержанию социальнои сферы,(18 804),9 021)
"# Убыток от недосдач активов при инвентаризации, списание",,
устаревших материалов и комплектующих,(35 098),(38 490)
Ремонтные работы,(61 227 ),(36 556)
Прочие услуги,(63 533,029
Благотворительность,(97 688',(134 810)
DЛal 0творитсльность Изменение справедливой стоимости инвестиционной недвижимости,(7 0оо ) (90 375),(э4 01U ) 82 360
(Убыток) / прибыль от реализации и прочего выбытия OC и,,
инвестиционной собственности,(204 466),158 944
инвестиционнои собственности,(204 466 ),158 944
трочие операционные доходы/ (расходы),149 9/8,36 180 )
яpvтитс опvрациоппыс нхоны / (расхоны ) Итого поочие операционные расхолы нетто,71о | 5 337,9v 1uu 568 130
1 1 1 ~н 1эпог ,,
тримечание 1 | палог на приоыль,Зa гол закон,чившийса
3а | ~н' загог 31 дека,иэшииен бря,
2022,2021,
Налог на прибыль за текущий период,710 240,482 405
Итого текущий налог на прибыль,710 240,482 405
Уменьшение /возникновение временных разниц,161 562),99 579 
Отложенный налог на прибыль,(161 562),9 579)
Итого расход по налогу на прибыль,548 678,382 826
